Order_ID,Order_Date,Customer,Category,Region,Quantity,Unit_Price,Unit_Cost
1001,2026-01-10,Aman,Electronics,North,2,25000,20000
1002,2026-01-18,Neha,Electronics,South,1,55000,45000
1003,2026-02-05,Rahul,Furniture,North,4,5000,3000
1004,2026-02-20,Priya,Furniture,East,2,8000,5000
1005,2026-03-08,Rohit,Electronics,West,3,2000,1200
1006,2026-03-25,Simran,Electronics,North,1,60000,48000
1007,2026-04-12,Karan,Electronics,South,2,28000,22000
1008,2026-04-28,Anjali,Electronics,East,5,1500,900
1009,2026-05-10,Vikas,Furniture,West,2,4500,2800
1010,2026-05-22,Arjun,Electronics,North,1,58000,46000
